,title,description,date,channel,num_tags,duration,viewcount,likecount,dislikecount,commentcount,topics
11,Defence News in a Nutshell - 19 Jun 2014 Edition,"In the ninth edition of Defence News in a Nutshell (DNN), RSS Persistence calls at VivoCity, Minister for Defence attends the 9th Five Power Defence Arrangements Defence Ministers' Meeting in Johor Bahru, Malaysia, and Minister of State for Defence has a dialogue with NSmen from Singapore Guards on the recently accepted Committee to Strengthen National Service recommendations.

Check out all these and more in under 5 minutes! 


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-06-19T09:46:21.000Z,Ministry of Defence Singapore,24,PT4M37S,2333,11,2,0,Military;Society
12,Brothers in Arms,"Follow the NSmen from the 702nd Battalion, Singapore Guards in their battalion coastal hook operations codenamed Exercise Golden Sand. For most, this was their last in-camp training. The stakes were high, but other than ensuring mission success, the men of 702 Guards wanted to leave behind a legacy for their fellow Guardsmen serving their National Service.  

Watch Brothers in Arms now!


Scripted by Raj Narwani
Shot by James Teh, Ajay Prashad and SAF Film Unit
Sound balancing by Lester Zhang

Related news article: http://mindef.sg/1kQeBtE

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-06-13T07:16:58.000Z,Ministry of Defence Singapore,19,PT7M6S,30944,94,7,7,Military;Society
13,Defence News in a Nutshell - 05 Jun 2014 Edition,"In the eighth edition of Defence News in a Nutshell (DNN), Minister for Defence attends the 8th ASEAN Defence Ministers' Meeting in Myanmar, the Committee to Strengthen National Service announces its recommendations for strengthening NS, and ministers and senior officials come to Singapore for the 13th Shangri-La Dialogue.

Check out all these and more in under 5 minutes!

(Mentioned in the news:
Visit www.strengthenNS.sg to find out more about the Committee to Strengthen National Service.)


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-06-05T10:01:49.000Z,Ministry of Defence Singapore,7,PT5M3S,2108,11,0,0,Military;Society
14,PIONEER Magazine June 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/subscribe2pioneer

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-06-02T00:09:09.000Z,Ministry of Defence Singapore,14,PT1M14S,1289,2,0,0,Society
15,Battle of the Air Warriors,"The first Air Warrior Challenge is a competition involving five helicopter squadrons in the Republic of Singapore Air Force, consisting of Chinooks, Super Pumas, Sikorsky S70B Naval Helicopters and AH-64D Apaches. A total of 15 teams from these heli-units competed in three categories which tested the ability of the Air Crew, Flight Line Crew and Pilots to accomplish their respective tasks with precision and in a timely manner. This event was held at Sembawang Air Base and Pulau Pawai from 14-17 April 2014.

Scripted by Raj Narwani
Shot byJames Teh, Ajay Prashad and Alistair Quak
Sound balancing by Lester Zhang

Related story: http://mindef.sg/1tpV2Zg

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-05-29T09:59:25.000Z,Ministry of Defence Singapore,14,PT6M34S,18693,67,1,6,Military;Society
16,Stepping Up - The Integrated Parade,"More then 4,000 recruits, 600 Operationally Ready National Servicemen and a crowd of thousands witnessed Corporal (NS) Lee Hong Chen hand over the State Flag to his nephew Recruit Marcus Chin at the first Integrated Parade held at the Marina Bay Floating Platform . With that symbolic gesture, the duty of defending Singapore passed from one generation to the next.  

Join the spectators and witness our soldiers step up to the call of duty.


cyberpioneer article: http://mindef.sg/1hzTlHI
Scripted and edited by Alistar Quak
Shot by Alistair Quak, Alvin Fung, James Teh 
Sound balancing by Lester Zhang

",2014-05-22T09:58:42.000Z,Ministry of Defence Singapore,4,PT6M53S,32146,98,10,5,Military;Society
17,Strengthening National Service for the Future,"The Committee to Strengthen National Service (CSNS) was set up in March 2013 to examine how the NS system could be strengthened for the future, to serve Singapore and Singaporeans better. This video highlights key recommendations by the committee, including the hiring of more regulars for the SAF, Police and SCDF, the setting up of an SAF Volunteer Corps, an additional amount to be paid out via NS Home Awards, and the reduction of enlistment wait-time for pre-enlistees.",2014-05-23T12:36:10.000Z,Ministry of Defence Singapore,11,PT1M31S,5416,29,15,1,Society
18,Defence News in a Nutshell - 15 May 2014 Edition,"In the seventh edition of Defence News in a Nutshell (DNN), the ""Support for NS"" and ""Recognition and Benefits for NS"" Working Groups submitted their final reports to the Steering Committee at the 7th Committee to Strengthen National Service meeting. In our What's Buzzing section, guess what shoppers at VivoCity will see when they look out the window at the end of this month; find out more about the RSAF servicemen who helped an elderly lady when she was knocked down by a lorry outside their camp; and get a few tips on leaping those extra centimetres in your Standing Broad Jump during IPPT.

Check out all these and more in under 5 minutes!

(Mentioned in the news:
Visit www.strengthenNS.sg to find out more about the Committee to Strengthen National Service.)


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-05-15T09:53:06.000Z,Ministry of Defence Singapore,18,PT4M4S,1873,4,5,1,Military;Society
19,The SAF - For Singapore,"The video highlights the achievements of the Singapore Armed Forces in the past work year and is dedicated to all the servicemen and women of the SAF for their professionalism, commitment and fighting spirit in safeguarding the peace and security of Singapore.


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-05-08T09:29:05.000Z,Ministry of Defence Singapore,11,PT11M44S,82896,517,25,62,Military;Society;Television_program
20,PIONEER Magazine May 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/subscribe2pioneer

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-30T15:57:57.000Z,Ministry of Defence Singapore,14,PT1M23S,2220,7,0,0,Military;Society
21,Defence News in a Nutshell - 01 May 2014 Edition,"In the sixth edition of Defence News in a Nutshell (DNN), Minister highlights expanding roles of militaries at Defence and Security Forum while Government Parliamentary Committees visit the Singapore Maritime Crisis Centre. Also in the news, - NSmen from 702 Guards conduct a battalion coastal hook to test their integration and operational readiness as part of Exercise Golden Sand.

Check out all these and more in under 5 minutes! 


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-05-01T10:01:44.000Z,Ministry of Defence Singapore,17,PT4M19S,1946,6,0,0,Military;Society
22,Tough Love (The Battle Inoculation Course),"With live rounds whizzing above their heads, sounds of mortar rounds exploding around them and the air raid sirens' relentless ruckus, recruits battle their way through a short but intense course that tests their physical and mental endurance, and their teamwork.

Watch Tough Love (The Battle Inoculation Course) on cyberpioneerTV.


Produced, scripted, presented and edited by Mano Mahendran
Shot by Peter Cho, Ajay Prashad & James Ng  
Sound by Lee Zheng Hei

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-24T09:59:03.000Z,Ministry of Defence Singapore,14,PT7M52S,39376,108,11,29,Military;Society
23,Defence News in a Nutshell - 17 Apr 2014 Edition,"In the fifth edition of Defence News in a Nutshell (DNN), SAF Veterans discuss ways to bring their SAF-related national memories to life for the younger generation while some 60 educators, pre-enlistees, full-time National Servicemen and NSmen discuss ways to improve fitness levels in two recent Committee to Strengthen National Service focus groups. Also in the news - Minister for Defence attends the US-ASEAN Defence Ministers' Informal Meeting in Hawaii and 2M visits the crew of RSS Tenacious during their counter-piracy operation.

Check out all these and more in under 5 minutes! 


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-17T10:07:04.000Z,Ministry of Defence Singapore,20,PT4M40S,2984,13,2,1,Military;Society
24,Operation Blue Sapphire (Maritime) 2014 Part 2: Mission Ready,"In the final episode of our two-part video on Operation Blue Sapphire (Maritime), see how the crew on board RSS Tenacious juggle multiple roles on the frigate to keep it moving like clockwork. Catch the crew with their families at the send-off ceremony, before RSS Tenacious slips-off for her three-month deployment to the Gulf of Aden.

Watch Part 2: Mission Ready now!


Scripted and edited by Raj Narwani
Shot by Ajay Prashad, Peter Cho and Raj Narwani
Sound balancing by Alistair Quak

Related news article: http://mindef.sg/1etaOeZ

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-10T09:55:01.000Z,Ministry of Defence Singapore,9,PT7M30S,12304,51,4,3,Military;Society;Television_program
25,Defence News in a Nutshell - 03 Apr 2014 Edition,"In the fourth edition of Defence News in a Nutshell (DNN), we uncover plans to enhance the NS training system and meet the new Chief of Army, BG Perry Lim. We also head over to our social media channels to find out more about RSS Tenacious joining counter-piracy efforts in the Gulf of Aden, how a group of Commandos found themselves at Victoria Junior College and meet a few of the ladies from the Women's Hall of Fame.

Check out all these and more in under 5 minutes!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-03T10:05:41.000Z,Ministry of Defence Singapore,20,PT4M41S,2952,5,0,0,Military;Society
26,PIONEER Magazine April 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/subscribe2pioneer

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-04-01T09:05:01.000Z,Ministry of Defence Singapore,11,PT1M14S,2132,6,0,0,Military;Society
27,Operation Blue Sapphire (Maritime) 2014 Part 1: Gearing Up,"This is the final pre-deployment exercise for the 151 crew on board RSS Tenacious. Watch them in action as they get ready for a counter-piracy operation in the Gulf of Aden, codenamed Operation Blue Sapphire (Maritime).

Watch Part 1: Gearing Up now!


Scripted and edited by Raj Narwani
Shot by Ajay Prashad, Peter Cho and Raj Narwani
Sound balancing by Alistair Quak

Related news article: http://mindef.sg/1etaOeZ

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-03-27T10:00:13.000Z,Ministry of Defence Singapore,9,PT5M18S,12755,37,3,4,Society
28,Defence News in a Nutshell - 20 Mar 2014 Edition,"In the third edition of Defence News in a Nutshell (DNN), we find out more about the search-and-locate mission for the missing Malaysia Airlines plane, MH370, and get updates on efforts to strengthen National Service. We also take a look at our social media channels to find out what was said at the Committee of Supply debates.

Check out all these and more in under 5 minutes! 


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-03-20T09:55:21.000Z,Ministry of Defence Singapore,20,PT4M10S,4065,16,0,2,Military;Society
29,A New Life for Old SAF Uniforms?,"The SAF donates its best decommissioned camouflage uniforms to WEworkz, a social enterprise that provides income opportunities for women through a recycling project. In this video, we follow the journey of an old camouflage uniform as it gets recycled. See how recycled uniforms from the SAF touch the lives of Singaporeans on ""A New Life for Old SAF Uniforms?""


Cyberpioneer Story: http://mindef.sg/1fs0uDt
Scripted and edited by Raj Narwani
Shot by Ajay Prashad 
Narration by Sherlyn Quek                                                                            Uniform voice and sound balancing by Alistair Quak

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-03-13T09:49:38.000Z,Ministry of Defence Singapore,6,PT6M33S,29519,100,17,11,Military;Society
30,Defence News in a Nutshell - 06 Mar 2014 Edition,"In the second edition of Defence News in a Nutshell (DNN), we meet a World War II survivor as we mark 30 years of Total Defence (TD). We also see recruits taking part in a significant event at the Civilian War Memorial; and look at students' take on TD in this year's N.E.mation! competition. 

Check out these and more in under 5 minutes!


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-03-06T10:01:12.000Z,Ministry of Defence Singapore,12,PT3M49S,4443,15,1,1,Military;Society
31,PIONEER Magazine March 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/RwqyUy

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-03-01T01:01:39.000Z,Ministry of Defence Singapore,11,PT1M13S,2694,4,1,0,None
32,PIONEER Magazine February 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/RwqyUy

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-28T04:18:36.000Z,Ministry of Defence Singapore,5,PT1M20S,2096,2,0,0,Lifestyle_(sociology)
33,"Up, Up and Away! - Singapore Airshow 2014","The Singapore Airshow was back at the Changi Exhibition Centre; featuring the largest number of aircraft displayed and a record number of flying display participants in the history of airshows in Singapore! Join Dionne as she explores the exhibition and meets the people behind a set of intelligent aerial drones.

Scripted and presented by Dionne De Souza
Edited by Alistair Quak
Shot by Ajay Prashad and Alistair Quak
Audio mixed by Kevin Tan


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-27T09:59:41.000Z,Ministry of Defence Singapore,16,PT4M31S,6565,33,0,2,Lifestyle_(sociology);Vehicle;Hobby;Television_program
34,Defence News in a Nutshell - 20 Feb 2014 Edition,"Presenting Defence News in a Nutshell (DNN), featuring the latest news in the SAF, what's buzzing on MINDEF/SAF social media channels, and shout outs to and from our servicemen and women. All these in under five minutes. 

In the news segment of this first edition, we follow Minister to the 50th Munich Security Conference, meet some of the dedicated SAF Pioneers who were honoured at the Istana garden party hosted by Prime Minister, and look to the skies for the exhilarating return of the Black Knights at the Singapore Airshow 2014.


View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-20T10:08:51.000Z,Ministry of Defence Singapore,11,PT4M29S,4080,17,1,1,Military;Society
35,Ep 2: Power Pact! (Exercise Forging Sabre),"You can hide, but they'll hunt you down with everything they've got. 
Watch how our air and land assets integrate in the cold and arid Arizona desert to deliver brutal firepower via the widest range of precision munition ever seen for this exercise. Exercise Forging Sabre 2014, the most complex edition to date!

Presented and edited by Mano Mahendran 

Shot by Freddy Yip, Francis Sharma, Augustine Low, 
Lim Chin Chuo and James Teh

Related cyberpioneer story: http://mindef.sg/1c5VXcK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-13T08:26:37.000Z,Ministry of Defence Singapore,9,PT6M34S,12543,52,2,7,Military;Society
36,One Force - 2014 RSAF Commercial,"Experience how different vocations come together as One Force in the RSAF. For a more interactive experience, download the One Force app, fire it up, tap SCAN and place your phone in front of this commercial. Remember to turn up the volume for a better experience! 

Available for free on iTunes App Store and Google Play now.
Google Play: https://play.google.com/store/apps/details?id=com.swagsoft.rsaf&hl=en
iTunes: https://itunes.apple.com/sg/app/one-force/id798763850?mt=8

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-06T09:58:15.000Z,Ministry of Defence Singapore,11,PT1M1S,1154814,189,7,14,Military;Society
37,Ep 1: Power Pact! (Exercise Forging Sabre),"A thinking and evolving ""enemy"" lurks in the vast area 19 times the size of Singapore. Some 700 of our airmen and soldiers work together seamlessly to bring the ""enemy"" down with everything they've got.

Watch Ep 1: Power Pact! (Exercise Forging Sabre) as they prepare for one of the largest and most complex battles ever fought in an integrated strike exercise conducted on US soil.


Presented and edited by Mano Mahendran 

Shot by Freddy Yip, Francis Sharma, Augustine Low, 
Lim Chin Chuo and James Teh

Related cyberpioneer story: http://mindef.sg/1c5VXcK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-06T09:59:40.000Z,Ministry of Defence Singapore,5,PT5M3S,14565,71,1,2,Military;Society
38,One Force - Using the App,"Download the One Force app and get into the action today. Find out how you can use the app to unlock some cool Air Force content.

iTunes: https://itunes.apple.com/sg/app/one-force/id798763850?mt=8
Google Play: https://play.google.com/store/apps/details?id=com.swagsoft.rsaf&hl=en

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-06T09:53:45.000Z,Ministry of Defence Singapore,13,PT1M19S,7847,2,2,5,Lifestyle_(sociology);Technology
39,The LSV MK II,"It is designed to be highly mobile and when augmented with other air assets in an integrated strike, the combined firepower allows it to eat tanks for breakfast. Check out the Guards' Light Strike Vehicle Mk II and see how it fits in with the 3rd Generation Singapore Armed Forces.




Produced, scripted and voiced by Dionne De Souza

Edited and audio balanced by Alistair Quak

Shot by Alvin Fung




Related cyberpioneer story: http://mindef.sg/1iJAVoc

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-02T23:56:45.000Z,Ministry of Defence Singapore,10,PT3M17S,51372,164,2,23,Military;Society
40,"One Force - Air Warfare Officer (Command, Control & Comms) & Air Operations and Systems Expert","Be the team that ensures our airspace is never compromised as an Air Warfare Officer (Command, Control and Communications) or Air Operations and Systems Expert. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-08T11:15:23.000Z,Ministry of Defence Singapore,18,PT1M31S,33899,108,3,3,Military;Society
41,One Force - RSAF Helicopter Pilot and RSAF Aircrew Specialist (ACS),"Make a difference in some of the most versatile aircraft in the sky as a helicopter pilot or Air Crew Specialist. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg",2014-02-08T11:17:08.000Z,Ministry of Defence Singapore,17,PT1M43S,27427,94,0,7,Military;Society
42,One Force - Air Warfare Officer (Ground Based Air Defence) and Air Defence Systems Specialist,"Get ready to defend the skies from the ground up as an Air Warfare Officer (Ground Based Air Defence) or Air Defence Systems Specialist. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-08T11:15:46.000Z,Ministry of Defence Singapore,17,PT1M10S,27339,82,2,2,Military;Society
43,One Force - RSAF Transport Pilot and RSAF Air Crew Specialist (ACS),"Be a force to be reckoned with in the skies as a Transport Pilot and Air Crew Specialist. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg",2014-02-08T11:17:27.000Z,Ministry of Defence Singapore,17,PT1M30S,25271,106,2,4,Military;Society
44,One Force - Air Force Engineer,"Get your hands on the most advanced technology and weapons systems as an Air Force Engineer. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg",2014-02-08T11:16:04.000Z,Ministry of Defence Singapore,14,PT1M24S,41417,162,4,10,Military;Society
45,One Force - RSAF Weapon Systems Officer (Fighter),"What does it take to be a part of a fighter aircrew? Watch this video to find out now. For more information, visit www.careers.rsaf.gov.sg",2014-02-08T11:16:23.000Z,Ministry of Defence Singapore,14,PT1M41S,22180,80,0,4,Military;Society
46,One Force - RSAF Fighter Pilot,"What's it like to be an RSAF Fighter Pilot? Watch this video to find out now. For more information, visit www.careers.rsaf.gov.sg",2014-02-08T11:16:47.000Z,Ministry of Defence Singapore,14,PT1M18S,49764,184,4,18,Military;Society
47,One Force - Unmanned Aerial Vehicle Pilot and Air Imagery Intelligence Expert,"Now you can be the ever watchful eye of the RSAF in the sky as an Unmanned Aerial Vehicle Pilot or Air Imagery Intelligence Expert. Watch this video to find out how. For more information, visit www.careers.rsaf.gov.sg

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-02-08T11:14:54.000Z,Ministry of Defence Singapore,17,PT1M5S,16145,34,0,8,Military;Society
48,One Force Trailer,"Catch the full RSAF Commercial now! http://youtu.be/2kSvnRItrvM

Use your phone to unlock fun and exciting bonus content, exclusive videos, and more. Only with the One Force App. 

Available for free on iTunes App Store and Google Play now.
Google Play: https://play.google.com/store/apps/de...
iTunes: https://itunes.apple.com/sg/app/one-f...

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-29T15:54:05.000Z,Ministry of Defence Singapore,18,PT16S,191799,50,4,10,None
49,"Cuz Baby, Two Is Better Than One","When you call for Black Knight 7, be prepared for not one, but two guys turning up! Without this dynamic duo, the show cannot go on. Watch the clip to find out why.


Produced edited and shot by Dionne De Souza

Shot by Alvin Fung and Ajay Prashad 

Graphics by Desmond Wong and William Goh


Related cyberpioneer story: http://mindef.sg/1bkcTYK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-26T10:00:59.000Z,Ministry of Defence Singapore,22,PT1M51S,8221,45,1,2,Health;Lifestyle_(sociology);Vehicle
0,Weaving With Planes,"Watching the Black Knights perform their aerobatics is guaranteed to have you holding your breath; we did. Black Knight 2 CPT Devdutt Sasidharan shares his most nerve-wracking manoeuvre with us. Can you figure out how it's done?


Produced edited and shot by Dionne De Souza

Shot by Alvin Fung and Ajay Prashad 

Graphics by Desmond Wong and William Goh


Related cyberpioneer story: http://mindef.sg/1bkcTYK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-25T10:12:32.000Z,Ministry of Defence Singapore,23,PT57S,13324,47,1,0,Hobby;Lifestyle_(sociology);Vehicle
1,The Trusty Squires,"It is said that behind every good pilot is a dedicated, professional crew. Yes, we're pretty sure that's how the saying goes. Meet 3SG Edison Lim, an Assistant Dedicated Crew Chief, who is part of the team behind Black Knight 6. Find out what he does to make sure the Black Knights fly safely.


Produced edited and shot by Dionne De Souza

Shot by Alvin Fung and Ajay Prashad 

Graphics by Desmond Wong and William Goh


Related cyberpioneer story: http://mindef.sg/1bkcTYK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-24T10:02:03.000Z,Ministry of Defence Singapore,20,PT1M18S,8331,26,1,2,Society;Military
2,The First Knight,"The Black Knights are back with a shiny new paint scheme, a dazzling new team and breath-taking new manoeuvres! Meet team leader, Black Knight 1 LTC Joseph Leong, to find out just how death-defying these moves are.


Produced edited and shot by Dionne De Souza

Shot by Alvin Fung and Ajay Prashad 

Graphics by Desmond Wong and William Goh


Related cyberpioneer story: http://mindef.sg/1bkcTYK

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-24T03:04:01.000Z,Ministry of Defence Singapore,20,PT51S,10264,45,1,5,Society;Military
3,Ep 5: Truth and Justice (The SAF Military Police Command),"Armed with modern forensics equipment, the Special Investigation Branch of the SAF Military Police Command solves crime within the SAF.


Scripted, shot, presented and edited by Choh Kian Keong

Shot by Alvin Fung, Ajay Prashad, Choh Kian Keong, James Teh and Peter Cho

Sound balancing by Choh Kian Keong


Related cyberpioneer story: http://mindef.sg/1eLDC4Z

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-16T09:56:53.000Z,Ministry of Defence Singapore,13,PT5M44S,47555,79,9,15,Society;Military
4,Ep 4: Protect and Safeguard (The SAF Military Police Command),"MPs are deployed to protect and safeguard SAF army, naval and air bases.

See how they deal with potential security threats in peacetime and during war on ""Protect and Safeguard - The SAF Military Police Command Ep 4"" now!


Scripted, shot, presented and edited by Choh Kian Keong

Shot by Alvin Fung, Ajay Prashad, Choh Kian Keong, James Teh and Peter Cho

Sound balancing by Choh Kian Keong


Related cyberpioneer story: http://mindef.sg/1aCtvNq

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-09T09:58:03.000Z,Ministry of Defence Singapore,25,PT5M30S,88632,148,10,17,Society;Military
5,PIONEER Magazine January 2014 Issue,"Subscribe to PIONEER Magazine at http://mindef.sg/RwqyUy

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-02T07:59:14.000Z,Ministry of Defence Singapore,5,PT1M15S,3561,7,5,1,Military
6,Ep 3: Pride and Honour (The SAF Military Police Command),"As custodians of regimentation and ceremony, the SAF Military Police provide specialised support for state and SAF parades and ceremonies.

See the MPs put their best feet forward on ""Pride and Honour - The SAF Military Police Command Ep 3"" now!


Scripted, shot, presented and edited by Choh Kian Keong

Shot by Alvin Fung, Ajay Prashad, Choh Kian Keong, James Teh and Peter Cho

Sound balancing by Choh Kian Keong


Related cyberpioneer story: http://mindef.sg/1aCtvNq

View more videos, photos and stories of the SAF at the links below!

Check out our other channels here:
Facebook: http://www.facebook.com/mindefsg
Twitter: http://www.twitter.com/mindefsg
Instagram: http://www.instagram.com/mindefsg",2014-01-02T09:15:09.000Z,Ministry of Defence Singapore,30,PT6M11S,90945,143,21,17,Society;Military
